code,title,credit_hours,description
REL 3341,Lutheran Doctrine,3,"The main purpose of this course will be to explore the foundational doctrinal teachings that have 
shaped Lutheran traditions, beliefs and life. In our attempt to understand what Lutheran Christians 
have historically believed, taught and confessed, we will also seek to apply Lutheran theological 
commitments to specific theological debates in contemporary Christianity. Moreover, we will 
explore how Lutheran doctrinal beliefs remain important resources for contemporary and 
ecumenical theological understanding, for ministry, for preaching, for teaching.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3342,Lutheran Confessions,3,"A study of the history and content of the Lutheran confessional documents contained in the Book of 
Concord.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3345,Theology of Worship,3,"In this course, students will consider the biblical, philosophical, historical and cultural influences on 
Christian worship. Throughout the course, students will study the participation in and leadership of 
Christian worship from a variety of perspectives.

Prerequisites: REL 1301 or REL 1311.

Corequisites: "
REL 3346,A Christian View of Nature,3,"An examination of Biblical passages about the natural world and discussion of related theological 
issues.

Prerequisites: REL 1301 and REL 1311; plus junior standing or permission of instructor.

Corequisites: "
REL 3352,History and Philosophy of the Reformation,3,"History, philosophy, theology, and literature of the Protestant Reformation.

Prerequisites: REL 1301 and REL 1311

Corequisites: "
REL 3353,American Christianity,3,"A study of the major denominations within American Christianity.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3354,History of Christianity,3,"An overview of the history of Christianity from the New Testament era to the present. The course 
will focus on the central persons, ideas, issues, and events that have shaped the Christian Church 
and its worship, doctrine, ethics, organization, and mission. Cross-listed as HIS 3354.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3355,History of Christian Mission,3,"The course will cover the historical expansion of the Christian church and its impact on societies 
around the world.  The course will examine the theology, culture, politics and methods of mission 
efforts beginning with the Acts of the Apostles.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3361,The Writings of C. S. Lewis,3,"Studies the life, the works, the literary criticism, the themes, and the thought of C.S. Lewis, with 
attention to the various literary genres within which Lewis wrote. This course is also available 
online.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3362,Narnia Meets Middle Earth,3,"This course offers a close look at the impact of such authors as Joseph Campbell, C.S. Lewis, J.R.R. 
Tolkien, J.K. Rowling, and the Scriptures upon the world of religion, imaginative literature, 
communication, and our way of life by studying the role of imagination and myth.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REL 3381,Major World Religions,3,"Introduction to the history, faith, and culture of the major non-Christian religions of the modern 
world, including Islam, Judaism, Hinduism, and Buddhism, with brief attention to minor religions 
and non-theistic religion.

Prerequisites: REL 1301 and REL 1311.

Corequisites: "
REDU 1111,Spiritual Disciplines I,1,"This course will assist students in their spiritual life through an exploration of the spiritual 
disciplines and an integration of truth into life as it pertains to their current lives as students 
preparing for full-time ministry. (To be taken freshman year)

Prerequisites: None. Course Fee: $75

Corequisites: "
REDU 1112,Spiritual Disciplines II,1,"This course will assist students in their spiritual life through an exploration of the spiritual 
disciplines and an integration of truth into life as it pertains to their transition from college life to 
full-time ministry.  (To be taken senior year)

Prerequisites: REDU 1111

Corequisites: "
REDU 2220,Introduction to DCE Ministry,2,"This course examines the ministry of the DCE within the context of the Lutheran Church --Missouri 
Synod so students can make personal evaluations of their appropriateness for this ministry.

Prerequisites: None

Corequisites: "
REDU 2350,Curriculum & Methods in Religious Education,2,"This course focuses on the educational ministry of the local church with attention to writing, 
evaluating, and teaching Bible studies as well as organizing a comprehensive plan for Biblical 
discipleship.

Prerequisites: None

Corequisites: "
REDU 3230,Leading Contemporary Worship,3,"This course examines contemporary expressions of worship, and prepares DCEs to lead 
congregations into these forms of worship expression. Cross-Listed as MUS 3230

Prerequisites: None

Corequisites: "
REDU 3232,Outdoor Christian Ministry,3,"This course seeks to examine the historical and contemporary purposes and formats of Outdoor 
Christian Education. Students will be equipped with the skills needed to implement an effective 
Outdoor Christian Education program in a congregational or school setting. This is a one-week 
intensive course taught in a camp setting, and includes a course fee (amount variable).

Prerequisites: None. Course Fee: $400

Corequisites: "
REDU 3240,Missional Leadership,3,"Students will gain knowledge of the latest theories and trends of missionaries and missional living. 
This class will also provide training in how to plan, budget, manage, execute and evaluate a short 
term mission trip, and how to turn short term trips into long term experiences.

Prerequisites: None. Course Fee: $300

Corequisites: "
